LECROYWR6050,12680,Waveform
Segments,1,SegmentSize,2002
Segment,TrigTime,TimeSinceSegment1
#1,05-Apr-2022 13:03:36,0                 
Time,Ampl
-1.965238e-007,109.73
-1.955238e-007,21.3407
-1.945238e-007,-155.438
-1.935238e-007,21.3407
-1.925238e-007,21.3407
-1.915238e-007,21.3407
-1.905238e-007,21.3407
-1.895238e-007,-67.0485
-1.885238e-007,109.73
-1.875238e-007,-67.0485
-1.865238e-007,21.3407
-1.855238e-007,21.3407
-1.845238e-007,109.73
-1.835238e-007,-67.0485
-1.825238e-007,21.3407
-1.815238e-007,-67.0485
-1.805238e-007,21.3407
-1.795238e-007,109.73
-1.785238e-007,-67.0485
-1.775238e-007,-67.0485
-1.765238e-007,109.73
-1.755238e-007,109.73
-1.745238e-007,-67.0485
-1.735238e-007,-67.0485
-1.725238e-007,198.119
-1.715238e-007,-67.0485
-1.705238e-007,21.3407
-1.695238e-007,21.3407
-1.685238e-007,21.3407
-1.675238e-007,198.119
-1.665238e-007,21.3407
-1.655238e-007,21.3407
-1.645238e-007,21.3407
-1.635238e-007,-67.0485
-1.625238e-007,-155.438
-1.615238e-007,-67.0485
-1.605238e-007,198.119
-1.595238e-007,21.3407
-1.585238e-007,21.3407
-1.575238e-007,-67.0485
-1.565238e-007,286.508
-1.555238e-007,21.3407
-1.545238e-007,21.3407
-1.535238e-007,21.3407
-1.525238e-007,109.73
-1.515238e-007,21.3407
-1.505238e-007,-67.0485
-1.495238e-007,-67.0485
-1.485238e-007,109.73
-1.475238e-007,21.3407
-1.465238e-007,-155.438
-1.455238e-007,21.3407
-1.445238e-007,198.119
-1.435238e-007,21.3407
-1.425238e-007,21.3407
-1.415238e-007,21.3407
-1.405238e-007,198.119
-1.395238e-007,21.3407
-1.385238e-007,-155.438
-1.375238e-007,21.3407
-1.365238e-007,109.73
-1.355238e-007,-155.438
-1.345238e-007,-67.0485
-1.335238e-007,21.3407
-1.325238e-007,21.3407
-1.315238e-007,109.73
-1.305238e-007,21.3407
-1.295238e-007,21.3407
-1.285238e-007,198.119
-1.275238e-007,21.3407
-1.265238e-007,-155.438
-1.255238e-007,21.3407
-1.245238e-007,109.73
-1.235238e-007,-67.0485
-1.225238e-007,21.3407
-1.215238e-007,21.3407
-1.205238e-007,109.73
-1.195238e-007,21.3407
-1.185238e-007,109.73
-1.175238e-007,-155.438
-1.165238e-007,21.3407
-1.155238e-007,109.73
-1.145238e-007,-67.0485
-1.135238e-007,-67.0485
-1.125238e-007,109.73
-1.115238e-007,-155.438
