LECROYWR6050,12680,Waveform
Segments,1,SegmentSize,2002
Segment,TrigTime,TimeSinceSegment1
#1,22-Mar-2022 11:31:06,0                 
Time,Ampl
-1.961764e-007,-67.0485
-1.951764e-007,109.73
-1.941764e-007,-67.0485
-1.931764e-007,-67.0485
-1.921764e-007,21.3407
-1.911764e-007,21.3407
-1.901764e-007,-67.0485
-1.891764e-007,21.3407
-1.881764e-007,21.3407
-1.871764e-007,21.3407
-1.861764e-007,21.3407
-1.851764e-007,-67.0485
-1.841764e-007,-67.0485
-1.831764e-007,109.73
-1.821764e-007,21.3407
-1.811764e-007,21.3407
-1.801764e-007,109.73
-1.791764e-007,109.73
-1.781764e-007,-67.0485
-1.771764e-007,-243.827
-1.761764e-007,21.3407
-1.751764e-007,-67.0485
-1.741764e-007,21.3407
-1.731764e-007,21.3407
-1.721764e-007,-155.438
-1.711764e-007,21.3407
-1.701764e-007,109.73
-1.691764e-007,-155.438
-1.681764e-007,21.3407
-1.671764e-007,21.3407
-1.661764e-007,21.3407
-1.651764e-007,109.73
-1.641764e-007,21.3407
-1.631764e-007,21.3407
-1.621764e-007,21.3407
-1.611764e-007,109.73
-1.601764e-007,21.3407
-1.591764e-007,109.73
-1.581764e-007,21.3407
-1.571764e-007,21.3407
-1.561764e-007,-67.0485
-1.551764e-007,21.3407
-1.541764e-007,-155.438
-1.531764e-007,-67.0485
-1.521764e-007,21.3407
-1.511764e-007,109.73
-1.501764e-007,-155.438
-1.491764e-007,21.3407
-1.481764e-007,21.3407
-1.471764e-007,21.3407
-1.461764e-007,21.3407
-1.451764e-007,21.3407
-1.441764e-007,21.3407
-1.431764e-007,21.3407
-1.421764e-007,21.3407
-1.411764e-007,109.73
-1.401764e-007,-67.0485
-1.391764e-007,21.3407
-1.381764e-007,21.3407
-1.371764e-007,21.3407
-1.361764e-007,-67.0485
-1.351764e-007,109.73
-1.341764e-007,109.73
-1.331764e-007,21.3407
-1.321764e-007,21.3407
-1.311764e-007,109.73
-1.301764e-007,-67.0485
-1.291764e-007,-67.0485
-1.281764e-007,109.73
-1.271764e-007,21.3407
-1.261764e-007,109.73
-1.251764e-007,109.73
-1.241764e-007,-155.438
-1.231764e-007,-67.0485
-1.221764e-007,109.73
-1.211764e-007,-243.827
-1.201764e-007,-67.0485
-1.191764e-007,198.119
-1.181764e-007,109.73
-1.171764e-007,21.3407
-1.161764e-007,21.3407
-1.151764e-007,109.73
-1.141764e-007,-67.0485
-1.131764e-007,-67.0485
-1.121764e-007,-67.0485
-1.111764e-007,109.73
-1.101764e-007,198.119
-1.091764e-007,21.3407
-1.081764e-007,109.73
-1.071764e-007,21.3407
-1.061764e-007,109.73
