LECROYWR6050,12680,Waveform
Segments,1,SegmentSize,2002
Segment,TrigTime,TimeSinceSegment1
#1,11-Apr-2022 14:51:43,0                 
Time,Ampl
-1.96402e-007,0.992646
-1.95402e-007,0.992646
-1.94402e-007,0.992646
-1.93402e-007,-0.775138
-1.92402e-007,0.108754
-1.91402e-007,0.992646
-1.90402e-007,0.108754
-1.89402e-007,-0.775138
-1.88402e-007,0.992646
-1.87402e-007,-0.775138
-1.86402e-007,-0.775138
-1.85402e-007,-1.65903
-1.84402e-007,-0.775138
-1.83402e-007,0.108754
-1.82402e-007,0.992646
-1.81402e-007,-0.775138
-1.80402e-007,-0.775138
-1.79402e-007,0.992646
-1.78402e-007,-0.775138
-1.77402e-007,0.108754
-1.76402e-007,0.992646
-1.75402e-007,-1.65903
-1.74402e-007,0.108754
-1.73402e-007,-0.775138
-1.72402e-007,0.992646
-1.71402e-007,-2.54292
-1.70402e-007,0.108754
-1.69402e-007,-0.775138
-1.68402e-007,-1.65903
-1.67402e-007,0.992646
-1.66402e-007,-1.65903
-1.65402e-007,-1.65903
-1.64402e-007,0.108754
-1.63402e-007,-0.775138
-1.62402e-007,-0.775138
-1.61402e-007,-0.775138
-1.60402e-007,0.108754
-1.59402e-007,-0.775138
-1.58402e-007,-0.775138
-1.57402e-007,-1.65903
-1.56402e-007,0.108754
-1.55402e-007,0.108754
-1.54402e-007,0.108754
-1.53402e-007,0.108754
-1.52402e-007,0.108754
-1.51402e-007,-0.775138
-1.50402e-007,-2.54292
-1.49402e-007,0.108754
-1.48402e-007,-0.775138
-1.47402e-007,-0.775138
-1.46402e-007,-0.775138
-1.45402e-007,-0.775138
-1.44402e-007,0.108754
-1.43402e-007,1.87654
-1.42402e-007,0.108754
-1.41402e-007,0.108754
-1.40402e-007,0.992646
-1.39402e-007,0.108754
-1.38402e-007,-2.54292
-1.37402e-007,-0.775138
-1.36402e-007,-1.65903
-1.35402e-007,-0.775138
-1.34402e-007,1.87654
-1.33402e-007,-2.54292
-1.32402e-007,0.108754
-1.31402e-007,0.108754
-1.30402e-007,-0.775138
-1.29402e-007,-0.775138
-1.28402e-007,0.992646
-1.27402e-007,-0.775138
-1.26402e-007,-0.775138
-1.25402e-007,0.108754
-1.24402e-007,0.992646
-1.23402e-007,-1.65903
-1.22402e-007,0.992646
-1.21402e-007,0.108754
-1.20402e-007,-1.65903
-1.19402e-007,0.108754
-1.18402e-007,-0.775138
-1.17402e-007,-0.775138
-1.16402e-007,0.108754
-1.15402e-007,-0.775138
-1.14402e-007,-3.42681
-1.13402e-007,0.992646
-1.12402e-007,0.108754
-1.11402e-007,0.992646
-1.10402e-007,1.87654
-1.09402e-007,-0.775138
-1.08402e-007,0.108754
-1.07402e-007,1.87654
-1.06402e-007,-2.54292
-1.05402e-007,-0.775138
-1.04402e-007,0.108754
-1.03402e-007,0.108754
-1.02402e-007,-0.775138
-1.01402e-007,0.108754
-1.00402e-007,0.108754
-9.9402e-008,1.87654
-9.8402e-008,0.992646
-9.7402e-008,0.108754
-9.6402e-008,1.87654
-9.5402e-008,0.992646
-9.4402e-008,-1.65903
-9.3402e-008,-0.775138
-9.2402e-008,0.992646
-9.1402e-008,0.108754
-9.0402e-008,0.108754
-8.9402e-008,0.992646
-8.8402e-008,-0.775138
-8.7402e-008,0.108754
-8.6402e-008,0.108754
-8.5402e-008,1.87654
-8.4402e-008,1.87654
-8.3402e-008,2.76043
-8.2402e-008,0.108754
-8.1402e-008,0.992646
-8.0402e-008,0.992646
-7.9402e-008,0.108754
-7.8402e-008,0.992646
-7.7402e-008,1.87654
-7.6402e-008,2.76043
-7.5402e-008,0.992646
-7.4402e-008,0.108754
-7.3402e-008,-0.775138
-7.2402e-008,-0.775138
-7.1402e-008,0.992646
-7.0402e-008,0.108754
-6.9402e-008,0.992646
-6.8402e-008,3.64432
-6.7402e-008,1.87654
-6.6402e-008,0.992646
-6.5402e-008,2.76043
-6.4402e-008,1.87654
-6.3402e-008,2.76043
-6.2402e-008,1.87654
-6.1402e-008,-0.775138
-6.0402e-008,0.992646
-5.9402e-008,0.992646
-5.8402e-008,-0.775138
-5.7402e-008,0.108754
-5.6402e-008,1.87654
-5.5402e-008,2.76043
