LECROYWR6050,12680,Waveform
Segments,1,SegmentSize,2002
Segment,TrigTime,TimeSinceSegment1
#1,05-Apr-2022 13:03:02,0                 
Time,Ampl
-1.964566e-007,0.992646
-1.954566e-007,-0.775138
-1.944566e-007,0.108754
-1.934566e-007,0.992646
-1.924566e-007,0.108754
-1.914566e-007,-0.775138
-1.904566e-007,0.992646
-1.894566e-007,0.108754
-1.884566e-007,0.108754
-1.874566e-007,0.992646
-1.864566e-007,-0.775138
-1.854566e-007,-0.775138
-1.844566e-007,1.87654
-1.834566e-007,-0.775138
-1.824566e-007,-0.775138
-1.814566e-007,0.108754
-1.804566e-007,0.108754
-1.794566e-007,-0.775138
-1.784566e-007,0.992646
-1.774566e-007,-1.65903
-1.764566e-007,-0.775138
-1.754566e-007,0.108754
-1.744566e-007,0.108754
-1.734566e-007,0.992646
-1.724566e-007,0.108754
-1.714566e-007,0.108754
-1.704566e-007,-0.775138
-1.694566e-007,0.992646
-1.684566e-007,0.108754
-1.674566e-007,-0.775138
-1.664566e-007,0.992646
-1.654566e-007,-1.65903
-1.644566e-007,-0.775138
-1.634566e-007,-0.775138
-1.624566e-007,0.108754
-1.614566e-007,-0.775138
-1.604566e-007,0.992646
-1.594566e-007,-1.65903
-1.584566e-007,1.87654
-1.574566e-007,1.87654
-1.564566e-007,0.108754
-1.554566e-007,0.992646
-1.544566e-007,0.108754
-1.534566e-007,0.108754
-1.524566e-007,-0.775138
-1.514566e-007,0.108754
-1.504566e-007,-0.775138
-1.494566e-007,-0.775138
-1.484566e-007,0.992646
-1.474566e-007,-1.65903
-1.464566e-007,0.108754
-1.454566e-007,0.108754
-1.444566e-007,0.108754
-1.434566e-007,0.108754
-1.424566e-007,1.87654
-1.414566e-007,0.992646
-1.404566e-007,0.108754
-1.394566e-007,0.992646
-1.384566e-007,-0.775138
-1.374566e-007,-0.775138
-1.364566e-007,0.992646
-1.354566e-007,-0.775138
-1.344566e-007,-0.775138
-1.334566e-007,-1.65903
-1.324566e-007,0.992646
-1.314566e-007,-1.65903
-1.304566e-007,0.108754
-1.294566e-007,-0.775138
-1.284566e-007,1.87654
-1.274566e-007,0.108754
-1.264566e-007,-1.65903
-1.254566e-007,0.108754
-1.244566e-007,-0.775138
-1.234566e-007,-0.775138
-1.224566e-007,0.108754
-1.214566e-007,0.108754
-1.204566e-007,-0.775138
-1.194566e-007,-0.775138
-1.184566e-007,0.108754
-1.174566e-007,-0.775138
-1.164566e-007,0.108754
-1.154566e-007,0.992646
-1.144566e-007,-0.775138
-1.134566e-007,0.108754
-1.124566e-007,0.108754
-1.114566e-007,-1.65903
-1.104566e-007,0.992646
-1.094566e-007,1.87654
-1.084566e-007,0.108754
-1.074566e-007,0.108754
-1.064566e-007,0.992646
-1.054566e-007,0.108754
-1.044566e-007,0.108754
-1.034566e-007,0.992646
-1.024566e-007,0.992646
-1.014566e-007,0.992646
-1.004566e-007,0.108754
-9.94566e-008,-0.775138
-9.84566e-008,0.108754
-9.74566e-008,0.992646
-9.64566e-008,2.76043
-9.54566e-008,0.108754
-9.44566e-008,0.992646
-9.34566e-008,0.992646
-9.24566e-008,0.108754
-9.14566e-008,0.108754
-9.04566e-008,0.108754
-8.94566e-008,0.108754
-8.84566e-008,0.992646
-8.74566e-008,1.87654
-8.64566e-008,0.992646
-8.54566e-008,0.992646
-8.44566e-008,1.87654
-8.34566e-008,0.992646
-8.24566e-008,1.87654
-8.14566e-008,1.87654
-8.04566e-008,1.87654
-7.94566e-008,1.87654
-7.84566e-008,1.87654
-7.74566e-008,0.992646
-7.64566e-008,0.108754
-7.54566e-008,-0.775138
-7.44566e-008,0.108754
-7.34566e-008,2.76043
-7.24566e-008,0.992646
-7.14566e-008,0.992646
-7.04566e-008,2.76043
-6.94566e-008,1.87654
-6.84566e-008,2.76043
-6.74566e-008,0.992646
-6.64566e-008,0.992646
-6.54566e-008,0.992646
-6.44566e-008,0.992646
-6.34566e-008,-1.65903
-6.24566e-008,1.87654
-6.14566e-008,2.76043
-6.04566e-008,1.87654
-5.94566e-008,1.87654
-5.84566e-008,1.87654
-5.74566e-008,1.87654
-5.64566e-008,0.992646
-5.54566e-008,1.87654
-5.44566e-008,1.87654
-5.34566e-008,0.992646
-5.24566e-008,1.87654
-5.14566e-008,0.108754
-5.04566e-008,0.108754
-4.94566e-008,0.992646
-4.84566e-008,-0.775138
-4.74566e-008,-1.65903
-4.64566e-008,-1.65903
-4.54566e-008,-2.54292
-4.44566e-008,-4.31071
-4.34566e-008,-4.31071
-4.24566e-008,-6.96238
-4.14566e-008,-4.31071
-4.04566e-008,-6.96238
-3.94566e-008,-6.96238
-3.84566e-008,-8.73017
-3.74566e-008,-8.73017
-3.64566e-008,-7.84627
-3.54566e-008,-8.73017
-3.44566e-008,-8.73017
-3.34566e-008,-7.84627
-3.24566e-008,-13.1496
-3.14566e-008,-14.9174
-3.04566e-008,-12.2657
-2.94566e-008,-9.61406
-2.84566e-008,-6.96238
-2.74566e-008,-5.1946
-2.64566e-008,-6.96238
-2.54566e-008,-6.07849
-2.44566e-008,-7.84627
-2.34566e-008,-7.84627
-2.24566e-008,-6.07849
-2.14566e-008,-7.84627
-2.04566e-008,-6.07849
-1.94566e-008,-7.84627
-1.84566e-008,-5.1946
-1.74566e-008,-6.07849
-1.64566e-008,-3.42681
-1.54566e-008,-4.31071
-1.44566e-008,-4.31071
-1.34566e-008,-3.42681
-1.24566e-008,-2.54292
-1.14566e-008,-1.65903
-1.04566e-008,0.992646
-9.456601e-009,0.992646
-8.456601e-009,-0.775138
-7.456601e-009,-0.775138
-6.456601e-009,0.108754
-5.456601e-009,-1.65903
-4.456601e-009,2.76043
-3.456601e-009,0.992646
-2.456601e-009,0.108754
-1.456601e-009,1.87654
-4.566014e-010,1.87654
5.433986e-010,1.87654
1.543399e-009,2.76043
2.543399e-009,1.87654
3.543399e-009,1.87654
4.543399e-009,1.87654
5.543399e-009,0.108754
6.543399e-009,0.992646
7.543399e-009,1.87654
8.543399e-009,1.87654
9.543399e-009,1.87654
1.05434e-008,1.87654
1.15434e-008,-1.65903
1.25434e-008,-5.1946
1.35434e-008,-6.07849
1.45434e-008,-3.42681
1.55434e-008,0.992646
1.65434e-008,2.76043
1.75434e-008,5.41211
1.85434e-008,5.41211
1.95434e-008,0.992646
2.05434e-008,-0.775138
2.15434e-008,-3.42681
2.25434e-008,-5.1946
2.35434e-008,-11.3818
2.45434e-008,-11.3818
2.55434e-008,-10.4979
2.65434e-008,-9.61406
2.75434e-008,-6.96238
2.85434e-008,-4.31071
2.95434e-008,-6.07849
3.05434e-008,-7.84627
3.15434e-008,-6.96238
3.25434e-008,-9.61406
3.35434e-008,-6.96238
3.45434e-008,-5.1946
3.55434e-008,-5.1946
3.65434e-008,-4.31071
3.75434e-008,-1.65903
3.85434e-008,-1.65903
3.95434e-008,-1.65903
4.05434e-008,-2.54292
4.15434e-008,-3.42681
4.25434e-008,-3.42681
4.35434e-008,-1.65903
4.45434e-008,-2.54292
4.55434e-008,-0.775138
4.65434e-008,0.108754
4.75434e-008,0.992646
4.85434e-008,-0.775138
4.95434e-008,3.64432
5.05434e-008,4.52821
5.15434e-008,3.64432
5.25434e-008,3.64432
5.35434e-008,1.87654
5.45434e-008,2.76043
5.55434e-008,2.76043
5.65434e-008,0.108754
5.75434e-008,1.87654
5.85434e-008,1.87654
5.95434e-008,2.76043
6.05434e-008,1.87654
6.15434e-008,2.76043
6.25434e-008,3.64432
6.35434e-008,4.52821
6.45434e-008,3.64432
6.55434e-008,4.52821
6.65434e-008,4.52821
6.75434e-008,5.41211
6.85434e-008,5.41211
6.95434e-008,5.41211
7.05434e-008,7.17989
7.15434e-008,4.52821
7.25434e-008,4.52821
7.35434e-008,3.64432
7.45434e-008,3.64432
7.55434e-008,2.76043
7.65434e-008,3.64432
7.75434e-008,2.76043
7.85434e-008,4.52821
7.95434e-008,3.64432
8.05434e-008,4.52821
8.15434e-008,4.52821
8.25434e-008,7.17989
8.35434e-008,7.17989
8.45434e-008,6.296
8.55434e-008,5.41211
8.65434e-008,5.41211
8.75434e-008,5.41211
8.85434e-008,5.41211
8.95434e-008,6.296
9.05434e-008,2.76043
9.15434e-008,5.41211
9.25434e-008,4.52821
9.35434e-008,5.41211
9.45434e-008,4.52821
9.55434e-008,2.76043
9.65434e-008,1.87654
9.75434e-008,2.76043
9.85434e-008,2.76043
9.95434e-008,4.52821
1.005434e-007,5.41211
1.015434e-007,4.52821
1.025434e-007,6.296
1.035434e-007,5.41211
1.045434e-007,3.64432
1.055434e-007,5.41211
1.065434e-007,2.76043
1.075434e-007,1.87654
1.085434e-007,3.64432
1.095434e-007,1.87654
1.105434e-007,1.87654
1.115434e-007,6.296
1.125434e-007,4.52821
1.135434e-007,4.52821
1.145434e-007,5.41211
1.155434e-007,5.41211
1.165434e-007,2.76043
1.175434e-007,1.87654
1.185434e-007,4.52821
1.195434e-007,2.76043
1.205434e-007,1.87654
1.215434e-007,4.52821
1.225434e-007,4.52821
1.235434e-007,6.296
1.245434e-007,5.41211
1.255434e-007,6.296
1.265434e-007,5.41211
1.275434e-007,4.52821
1.285434e-007,3.64432
1.295434e-007,6.296
1.305434e-007,6.296
1.315434e-007,8.06378
1.325434e-007,6.296
1.335434e-007,6.296
1.345434e-007,5.41211
1.355434e-007,5.41211
1.365434e-007,3.64432
1.375434e-007,3.64432
1.385434e-007,4.52821
1.395434e-007,3.64432
1.405434e-007,4.52821
1.415434e-007,4.52821
1.425434e-007,5.41211
1.435434e-007,6.296
1.445434e-007,5.41211
1.455434e-007,7.17989
1.465434e-007,8.06378
1.475434e-007,6.296
1.485434e-007,3.64432
1.495434e-007,2.76043
1.505434e-007,6.296
1.515434e-007,4.52821
1.525434e-007,3.64432
1.535434e-007,3.64432
1.545434e-007,3.64432
1.555434e-007,5.41211
1.565434e-007,3.64432
1.575434e-007,3.64432
1.585434e-007,2.76043
1.595434e-007,3.64432
1.605434e-007,2.76043
1.615434e-007,3.64432
1.625434e-007,2.76043
1.635434e-007,3.64432
1.645434e-007,2.76043
1.655434e-007,2.76043
1.665434e-007,3.64432
1.675434e-007,2.76043
1.685434e-007,1.87654
1.695434e-007,0.992646
1.705434e-007,0.108754
1.715434e-007,0.992646
1.725434e-007,1.87654
1.735434e-007,0.108754
1.745434e-007,1.87654
1.755434e-007,2.76043
1.765434e-007,0.108754
1.775434e-007,0.992646
1.785434e-007,3.64432
1.795434e-007,2.76043
1.805434e-007,1.87654
1.815434e-007,2.76043
1.825434e-007,2.76043
1.835434e-007,3.64432
1.845434e-007,1.87654
1.855434e-007,2.76043
1.865434e-007,3.64432
1.875434e-007,3.64432
1.885434e-007,3.64432
1.895434e-007,3.64432
1.905434e-007,3.64432
1.915434e-007,2.76043
1.925434e-007,2.76043
1.935434e-007,3.64432
1.945434e-007,4.52821
1.955434e-007,6.296
1.965434e-007,5.41211
1.975434e-007,4.52821
1.985434e-007,7.17989
1.995434e-007,4.52821
2.005434e-007,3.64432
2.015434e-007,4.52821
2.025434e-007,4.52821
2.035434e-007,6.296
2.045434e-007,4.52821
2.055434e-007,8.94767
2.065434e-007,8.94767
2.075434e-007,4.52821
2.085434e-007,0.108754
2.095434e-007,-4.31071
2.105434e-007,-9.61406
2.115434e-007,-14.0335
2.125434e-007,-14.9174
2.135434e-007,-17.5691
2.145434e-007,-15.8013
2.155434e-007,-17.5691
2.165434e-007,-17.5691
2.175434e-007,-14.0335
2.185434e-007,-14.0335
2.195434e-007,-10.4979
2.205434e-007,-9.61406
2.215434e-007,-8.73017
2.225434e-007,-7.84627
2.235434e-007,-6.07849
2.245434e-007,-6.07849
2.255434e-007,-6.96238
2.265434e-007,-7.84627
2.275434e-007,-8.73017
2.285434e-007,-7.84627
2.295434e-007,-10.4979
2.305434e-007,-8.73017
2.315434e-007,-8.73017
2.325434e-007,-8.73017
2.335434e-007,-8.73017
2.345434e-007,-7.84627
2.355434e-007,-8.73017
2.365434e-007,-6.96238
2.375434e-007,-6.96238
2.385434e-007,-5.1946
2.395434e-007,-6.07849
2.405434e-007,-6.96238
2.415434e-007,-4.31071
2.425434e-007,-5.1946
2.435434e-007,-6.96238
2.445434e-007,-5.1946
2.455434e-007,-5.1946
2.465434e-007,-5.1946
2.475434e-007,-4.31071
2.485434e-007,-4.31071
2.495434e-007,-5.1946
2.505434e-007,-5.1946
2.515434e-007,-4.31071
2.525434e-007,-4.31071
2.535434e-007,-3.42681
2.545434e-007,-2.54292
2.555434e-007,-3.42681
2.565434e-007,-4.31071
2.575434e-007,-2.54292
2.585434e-007,-3.42681
2.595434e-007,-4.31071
2.605434e-007,-3.42681
2.615434e-007,-4.31071
2.625434e-007,-2.54292
2.635434e-007,-3.42681
2.645434e-007,-2.54292
2.655434e-007,-0.775138
2.665434e-007,-2.54292
2.675434e-007,-1.65903
2.685434e-007,-2.54292
2.695434e-007,-2.54292
2.705434e-007,-2.54292
2.715434e-007,-2.54292
2.725434e-007,-3.42681
2.735434e-007,-1.65903
2.745434e-007,0.108754
2.755434e-007,-2.54292
2.765434e-007,-0.775138
2.775434e-007,-0.775138
2.785434e-007,-0.775138
2.795434e-007,-0.775138
2.805434e-007,-1.65903
2.815434e-007,-0.775138
2.825434e-007,-0.775138
2.835434e-007,0.992646
2.845434e-007,1.87654
2.855434e-007,3.64432
2.865434e-007,3.64432
2.875434e-007,3.64432
2.885434e-007,2.76043
2.895434e-007,3.64432
2.905434e-007,2.76043
2.915434e-007,4.52821
2.925434e-007,4.52821
2.935434e-007,3.64432
2.945434e-007,3.64432
2.955434e-007,3.64432
2.965434e-007,3.64432
2.975434e-007,4.52821
2.985434e-007,3.64432
2.995434e-007,4.52821
3.005434e-007,2.76043
3.015434e-007,4.52821
3.025434e-007,3.64432
3.035434e-007,4.52821
3.045434e-007,2.76043
3.055434e-007,3.64432
3.065434e-007,5.41211
3.075434e-007,3.64432
3.085434e-007,2.76043
3.095434e-007,1.87654
3.105434e-007,3.64432
3.115434e-007,2.76043
3.125434e-007,1.87654
3.135434e-007,1.87654
3.145434e-007,1.87654
3.155434e-007,3.64432
3.165434e-007,2.76043
3.175434e-007,0.992646
3.185434e-007,2.76043
3.195434e-007,2.76043
3.205434e-007,1.87654
3.215434e-007,2.76043
3.225434e-007,1.87654
3.235434e-007,3.64432
3.245434e-007,1.87654
3.255434e-007,3.64432
3.265434e-007,5.41211
3.275434e-007,4.52821
3.285434e-007,3.64432
3.295434e-007,2.76043
3.305434e-007,4.52821
3.315434e-007,3.64432
3.325434e-007,3.64432
3.335434e-007,4.52821
3.345434e-007,2.76043
3.355434e-007,3.64432
3.365434e-007,2.76043
3.375434e-007,2.76043
3.385434e-007,2.76043
3.395434e-007,3.64432
3.405434e-007,2.76043
3.415434e-007,2.76043
3.425434e-007,4.52821
3.435434e-007,2.76043
3.445434e-007,2.76043
3.455434e-007,2.76043
3.465434e-007,2.76043
3.475434e-007,2.76043
3.485434e-007,0.992646
3.495434e-007,2.76043
3.505434e-007,0.992646
3.515434e-007,1.87654
3.525434e-007,1.87654
3.535434e-007,1.87654
3.545434e-007,2.76043
3.555434e-007,1.87654
3.565434e-007,1.87654
3.575434e-007,3.64432
3.585434e-007,2.76043
3.595434e-007,2.76043
3.605434e-007,2.76043
3.615434e-007,2.76043
3.625434e-007,2.76043
3.635434e-007,3.64432
3.645434e-007,3.64432
3.655434e-007,2.76043
3.665434e-007,2.76043
3.675434e-007,3.64432
3.685434e-007,3.64432
3.695434e-007,4.52821
3.705434e-007,3.64432
3.715434e-007,2.76043
3.725434e-007,2.76043
3.735434e-007,1.87654
3.745434e-007,3.64432
3.755434e-007,3.64432
3.765434e-007,2.76043
3.775434e-007,3.64432
3.785434e-007,1.87654
3.795434e-007,2.76043
3.805434e-007,2.76043
3.815434e-007,3.64432
3.825434e-007,2.76043
3.835434e-007,2.76043
3.845434e-007,0.108754
3.855434e-007,2.76043
3.865434e-007,0.992646
3.875434e-007,0.992646
3.885434e-007,1.87654
3.895434e-007,0.992646
3.905434e-007,2.76043
3.915434e-007,2.76043
3.925434e-007,1.87654
3.935434e-007,0.992646
3.945434e-007,1.87654
3.955434e-007,1.87654
3.965434e-007,0.992646
3.975434e-007,1.87654
3.985434e-007,1.87654
3.995434e-007,1.87654
4.005434e-007,1.87654
4.015434e-007,1.87654
4.025434e-007,3.64432
4.035434e-007,0.992646
4.045434e-007,2.76043
4.055434e-007,2.76043
4.065434e-007,3.64432
4.075434e-007,0.992646
4.085434e-007,1.87654
4.095434e-007,2.76043
4.105434e-007,0.992646
4.115434e-007,1.87654
4.125434e-007,2.76043
4.135434e-007,1.87654
4.145434e-007,2.76043
4.155434e-007,3.64432
4.165434e-007,2.76043
4.175434e-007,3.64432
4.185434e-007,2.76043
4.195434e-007,2.76043
4.205434e-007,3.64432
4.215434e-007,2.76043
4.225434e-007,2.76043
4.235434e-007,1.87654
4.245434e-007,2.76043
4.255434e-007,2.76043
4.265434e-007,0.992646
4.275434e-007,1.87654
4.285434e-007,0.992646
4.295434e-007,1.87654
4.305434e-007,2.76043
4.315434e-007,0.992646
4.325434e-007,0.108754
4.335434e-007,2.76043
4.345434e-007,1.87654
4.355434e-007,3.64432
4.365434e-007,1.87654
4.375434e-007,0.992646
4.385434e-007,3.64432
4.395434e-007,2.76043
4.405434e-007,1.87654
4.415434e-007,1.87654
4.425434e-007,2.76043
4.435434e-007,2.76043
4.445434e-007,0.108754
4.455434e-007,1.87654
4.465434e-007,2.76043
4.475434e-007,1.87654
4.485434e-007,1.87654
4.495434e-007,2.76043
4.505434e-007,3.64432
4.515434e-007,3.64432
4.525434e-007,1.87654
4.535434e-007,0.108754
4.545434e-007,1.87654
4.555434e-007,1.87654
4.565434e-007,1.87654
4.575434e-007,1.87654
4.585434e-007,1.87654
4.595434e-007,2.76043
4.605434e-007,1.87654
4.615434e-007,0.992646
4.625434e-007,0.992646
4.635434e-007,2.76043
4.645434e-007,0.108754
4.655434e-007,1.87654
