LECROYWR6050,12680,Waveform
Segments,1,SegmentSize,2002
Segment,TrigTime,TimeSinceSegment1
#1,05-Apr-2022 13:03:30,0                 
Time,Ampl
-1.960953e-007,-67.0485
-1.950953e-007,-67.0485
-1.940953e-007,21.3407
-1.930953e-007,21.3407
-1.920953e-007,21.3407
-1.910953e-007,21.3407
-1.900953e-007,-67.0485
-1.890953e-007,21.3407
-1.880953e-007,109.73
-1.870953e-007,-67.0485
-1.860953e-007,-67.0485
-1.850953e-007,109.73
-1.840953e-007,21.3407
-1.830953e-007,21.3407
-1.820953e-007,-67.0485
-1.810953e-007,21.3407
-1.800953e-007,-67.0485
-1.790953e-007,-67.0485
-1.780953e-007,-67.0485
-1.770953e-007,109.73
-1.760953e-007,-67.0485
-1.750953e-007,21.3407
-1.740953e-007,21.3407
-1.730953e-007,109.73
-1.720953e-007,21.3407
-1.710953e-007,-67.0485
-1.700953e-007,-67.0485
-1.690953e-007,109.73
-1.680953e-007,21.3407
-1.670953e-007,21.3407
-1.660953e-007,21.3407
-1.650953e-007,21.3407
-1.640953e-007,-67.0485
-1.630953e-007,21.3407
-1.620953e-007,21.3407
-1.610953e-007,21.3407
-1.600953e-007,109.73
-1.590953e-007,21.3407
-1.580953e-007,-67.0485
-1.570953e-007,198.119
-1.560953e-007,109.73
-1.550953e-007,-67.0485
-1.540953e-007,21.3407
-1.530953e-007,198.119
-1.520953e-007,21.3407
-1.510953e-007,21.3407
-1.500953e-007,21.3407
-1.490953e-007,21.3407
-1.480953e-007,21.3407
-1.470953e-007,21.3407
-1.460953e-007,-155.438
-1.450953e-007,109.73
-1.440953e-007,21.3407
-1.430953e-007,-67.0485
-1.420953e-007,21.3407
-1.410953e-007,198.119
-1.400953e-007,21.3407
-1.390953e-007,-67.0485
-1.380953e-007,21.3407
-1.370953e-007,21.3407
-1.360953e-007,-67.0485
-1.350953e-007,21.3407
-1.340953e-007,21.3407
-1.330953e-007,109.73
-1.320953e-007,21.3407
-1.310953e-007,-67.0485
-1.300953e-007,21.3407
-1.290953e-007,109.73
-1.280953e-007,-67.0485
-1.270953e-007,21.3407
-1.260953e-007,-67.0485
-1.250953e-007,21.3407
-1.240953e-007,198.119
-1.230953e-007,21.3407
-1.220953e-007,-67.0485
-1.210953e-007,109.73
-1.200953e-007,21.3407
-1.190953e-007,21.3407
-1.180953e-007,-67.0485
-1.170953e-007,109.73
-1.160953e-007,21.3407
-1.150953e-007,-67.0485
-1.140953e-007,109.73
-1.130953e-007,21.3407
-1.120953e-007,109.73
-1.110953e-007,-67.0485
-1.100953e-007,21.3407
-1.090953e-007,109.73
-1.080953e-007,-67.0485
-1.070953e-007,-243.827
-1.060953e-007,109.73
-1.050953e-007,286.508
-1.040953e-007,21.3407
-1.030953e-007,-67.0485
-1.020953e-007,109.73
-1.010953e-007,109.73
-1.000953e-007,109.73
-9.909527e-008,109.73
-9.809527e-008,109.73
-9.709527e-008,198.119
-9.609527e-008,21.3407
-9.509527e-008,21.3407
-9.409527e-008,109.73
-9.309527e-008,463.287
-9.209527e-008,109.73
-9.109527e-008,21.3407
-9.009527e-008,109.73
-8.909527e-008,109.73
-8.809527e-008,21.3407
-8.709527e-008,109.73
-8.609527e-008,109.73
-8.509527e-008,286.508
-8.409527e-008,109.73
-8.309527e-008,21.3407
-8.209527e-008,286.508
-8.109527e-008,463.287
-8.009527e-008,463.287
-7.909527e-008,286.508
-7.809527e-008,551.676
-7.709527e-008,640.065
-7.609527e-008,463.287
-7.509527e-008,374.897
-7.409527e-008,374.897
-7.309527e-008,463.287
-7.209527e-008,551.676
-7.109527e-008,374.897
-7.009527e-008,463.287
-6.909527e-008,640.065
-6.809527e-008,463.287
-6.709527e-008,463.287
-6.609527e-008,551.676
-6.509527e-008,728.454
-6.409527e-008,728.454
-6.309527e-008,816.843
-6.209527e-008,816.843
-6.109527e-008,993.622
-6.009527e-008,1082.01
-5.909527e-008,1082.01
-5.809527e-008,1170.4
-5.709527e-008,1258.79
-5.609527e-008,1258.79
-5.509527e-008,1258.79
-5.409527e-008,1170.4
-5.309527e-008,1258.79
-5.209527e-008,1170.4
-5.109527e-008,1082.01
-5.009527e-008,1170.4
-4.909527e-008,1347.18
-4.809527e-008,1435.57
-4.709527e-008,1435.57
-4.609527e-008,1700.74
-4.509527e-008,1789.12
-4.409527e-008,1700.74
-4.309527e-008,1700.74
-4.209527e-008,1789.12
-4.109527e-008,1877.51
-4.009527e-008,1789.12
-3.909527e-008,1789.12
-3.809527e-008,1612.35
-3.709527e-008,1700.74
-3.609527e-008,1435.57
-3.509527e-008,1170.4
-3.409527e-008,1170.4
-3.309527e-008,1170.4
-3.209527e-008,1082.01
-3.109527e-008,993.622
-3.009527e-008,816.843
-2.909527e-008,905.233
-2.809527e-008,905.233
-2.709527e-008,905.233
-2.609527e-008,905.233
-2.509527e-008,905.233
-2.409527e-008,905.233
-2.309527e-008,816.843
-2.209527e-008,816.843
-2.109527e-008,993.622
-2.009527e-008,640.065
-1.909527e-008,463.287
-1.809527e-008,640.065
-1.709527e-008,728.454
-1.609527e-008,463.287
-1.509527e-008,374.897
-1.409527e-008,551.676
-1.309527e-008,198.119
-1.209527e-008,286.508
-1.109527e-008,109.73
-1.009527e-008,286.508
-9.095274e-009,551.676
-8.095274e-009,374.897
-7.095274e-009,-67.0485
-6.095274e-009,21.3407
-5.095274e-009,109.73
-4.095274e-009,374.897
-3.095274e-009,286.508
-2.095274e-009,463.287
-1.095274e-009,728.454
-9.527386e-011,640.065
9.047261e-010,463.287
1.904726e-009,640.065
2.904726e-009,640.065
3.904726e-009,728.454
4.904726e-009,728.454
5.904726e-009,640.065
6.904726e-009,728.454
7.904726e-009,640.065
8.904726e-009,640.065
9.904726e-009,728.454
1.090473e-008,1170.4
