LECROYWR6050,12680,Waveform
Segments,1,SegmentSize,2002
Segment,TrigTime,TimeSinceSegment1
#1,05-Apr-2022 13:03:18,0                 
Time,Ampl
-1.965689e-007,21.3407
-1.955689e-007,21.3407
-1.945689e-007,-67.0485
-1.935689e-007,21.3407
-1.925689e-007,21.3407
-1.915689e-007,-67.0485
-1.905689e-007,-67.0485
-1.895689e-007,-67.0485
-1.885689e-007,109.73
-1.875689e-007,-67.0485
-1.865689e-007,-67.0485
-1.855689e-007,21.3407
-1.845689e-007,109.73
-1.835689e-007,109.73
-1.825689e-007,-67.0485
-1.815689e-007,-67.0485
-1.805689e-007,198.119
-1.795689e-007,109.73
-1.785689e-007,-155.438
-1.775689e-007,-67.0485
-1.765689e-007,109.73
-1.755689e-007,-67.0485
-1.745689e-007,21.3407
-1.735689e-007,109.73
-1.725689e-007,109.73
-1.715689e-007,109.73
-1.705689e-007,-155.438
-1.695689e-007,-67.0485
-1.685689e-007,198.119
-1.675689e-007,198.119
-1.665689e-007,-67.0485
-1.655689e-007,109.73
-1.645689e-007,109.73
-1.635689e-007,21.3407
-1.625689e-007,-67.0485
-1.615689e-007,21.3407
-1.605689e-007,21.3407
-1.595689e-007,21.3407
-1.585689e-007,-67.0485
-1.575689e-007,-67.0485
-1.565689e-007,109.73
-1.555689e-007,-67.0485
-1.545689e-007,-155.438
-1.535689e-007,21.3407
-1.525689e-007,109.73
-1.515689e-007,21.3407
-1.505689e-007,21.3407
-1.495689e-007,21.3407
-1.485689e-007,21.3407
-1.475689e-007,21.3407
-1.465689e-007,21.3407
-1.455689e-007,-67.0485
-1.445689e-007,109.73
-1.435689e-007,21.3407
-1.425689e-007,-67.0485
-1.415689e-007,109.73
-1.405689e-007,109.73
-1.395689e-007,21.3407
-1.385689e-007,-155.438
-1.375689e-007,21.3407
-1.365689e-007,198.119
-1.355689e-007,-67.0485
-1.345689e-007,-67.0485
-1.335689e-007,21.3407
-1.325689e-007,109.73
-1.315689e-007,-67.0485
-1.305689e-007,-155.438
-1.295689e-007,-155.438
-1.285689e-007,109.73
-1.275689e-007,21.3407
-1.265689e-007,-67.0485
-1.255689e-007,-67.0485
-1.245689e-007,21.3407
-1.235689e-007,21.3407
-1.225689e-007,21.3407
-1.215689e-007,21.3407
-1.205689e-007,198.119
-1.195689e-007,21.3407
-1.185689e-007,-67.0485
-1.175689e-007,-67.0485
-1.165689e-007,109.73
-1.155689e-007,21.3407
-1.145689e-007,-67.0485
-1.135689e-007,-155.438
-1.125689e-007,109.73
-1.115689e-007,21.3407
-1.105689e-007,109.73
-1.095689e-007,21.3407
-1.085689e-007,109.73
-1.075689e-007,-67.0485
-1.065689e-007,-67.0485
-1.055689e-007,21.3407
-1.045689e-007,109.73
-1.035689e-007,-67.0485
-1.025689e-007,21.3407
-1.015689e-007,109.73
-1.005689e-007,198.119
-9.956887e-008,21.3407
-9.856887e-008,21.3407
-9.756887e-008,21.3407
-9.656887e-008,21.3407
-9.556887e-008,109.73
-9.456887e-008,21.3407
-9.356887e-008,-67.0485
-9.256887e-008,21.3407
-9.156887e-008,21.3407
-9.056887e-008,21.3407
-8.956887e-008,198.119
-8.856887e-008,198.119
-8.756887e-008,21.3407
-8.656887e-008,109.73
-8.556887e-008,21.3407
-8.456887e-008,109.73
-8.356887e-008,198.119
-8.256887e-008,21.3407
-8.156887e-008,286.508
-8.056887e-008,198.119
-7.956887e-008,109.73
-7.856887e-008,198.119
-7.756887e-008,463.287
-7.656887e-008,374.897
-7.556887e-008,286.508
-7.456887e-008,198.119
-7.356887e-008,286.508
-7.256887e-008,374.897
-7.156887e-008,198.119
-7.056887e-008,286.508
-6.956887e-008,286.508
-6.856887e-008,551.676
-6.756887e-008,551.676
-6.656887e-008,286.508
-6.556887e-008,463.287
-6.456887e-008,640.065
-6.356887e-008,551.676
-6.256887e-008,816.843
-6.156887e-008,816.843
-6.056887e-008,993.622
-5.956887e-008,993.622
-5.856887e-008,993.622
-5.756887e-008,1082.01
-5.656887e-008,1258.79
-5.556887e-008,1347.18
-5.456887e-008,1258.79
-5.356887e-008,1258.79
-5.256887e-008,1347.18
-5.156887e-008,1258.79
-5.056887e-008,1258.79
-4.956887e-008,1347.18
-4.856887e-008,1612.35
-4.756887e-008,1435.57
-4.656887e-008,1523.96
-4.556887e-008,1612.35
-4.456887e-008,1789.12
-4.356887e-008,1700.74
-4.256887e-008,1789.12
-4.156887e-008,1789.12
-4.056887e-008,1789.12
-3.956887e-008,1612.35
-3.856887e-008,1435.57
-3.756887e-008,1435.57
-3.656887e-008,1523.96
-3.556887e-008,1347.18
-3.456887e-008,993.622
-3.356887e-008,1082.01
-3.256887e-008,1258.79
-3.156887e-008,1082.01
-3.056887e-008,1082.01
-2.956887e-008,905.233
-2.856887e-008,816.843
-2.756887e-008,816.843
-2.656887e-008,728.454
-2.556887e-008,728.454
-2.456887e-008,728.454
-2.356887e-008,728.454
-2.256887e-008,640.065
-2.156887e-008,816.843
-2.056887e-008,728.454
-1.956887e-008,551.676
-1.856887e-008,640.065
-1.756887e-008,551.676
-1.656887e-008,286.508
-1.556887e-008,286.508
-1.456887e-008,551.676
-1.356887e-008,286.508
-1.256887e-008,198.119
-1.156887e-008,198.119
-1.056887e-008,198.119
-9.568867e-009,374.897
-8.568867e-009,551.676
-7.568867e-009,-155.438
-6.568867e-009,21.3407
-5.568867e-009,-67.0485
-4.568867e-009,374.897
-3.568867e-009,286.508
-2.568867e-009,640.065
-1.568867e-009,551.676
-5.688669e-010,728.454
4.311331e-010,551.676
1.431133e-009,728.454
2.431133e-009,728.454
3.431133e-009,993.622
4.431133e-009,728.454
5.431133e-009,640.065
6.431133e-009,816.843
7.431133e-009,816.843
8.431133e-009,816.843
9.431133e-009,816.843
1.043113e-008,993.622
1.143113e-008,1258.79
1.243113e-008,1258.79
1.343113e-008,905.233
1.443113e-008,905.233
1.543113e-008,1435.57
1.643113e-008,1347.18
1.743113e-008,1700.74
1.843113e-008,1523.96
1.943113e-008,1435.57
2.043113e-008,1612.35
2.143113e-008,1258.79
2.243113e-008,993.622
2.343113e-008,1170.4
2.443113e-008,1082.01
2.543113e-008,728.454
2.643113e-008,728.454
2.743113e-008,993.622
2.843113e-008,905.233
2.943113e-008,816.843
3.043113e-008,905.233
3.143113e-008,993.622
3.243113e-008,905.233
3.343113e-008,993.622
3.443113e-008,640.065
3.543113e-008,728.454
3.643113e-008,993.622
3.743113e-008,905.233
3.843113e-008,905.233
3.943113e-008,1258.79
4.043113e-008,816.843
