LECROYWR6050,12680,Waveform
Segments,1,SegmentSize,2002
Segment,TrigTime,TimeSinceSegment1
#1,22-Mar-2022 11:31:32,0                 
Time,Ampl
-1.967129e-007,109.73
-1.957129e-007,21.3407
-1.947129e-007,-155.438
-1.937129e-007,-67.0485
-1.927129e-007,109.73
-1.917129e-007,-155.438
-1.907129e-007,-67.0485
-1.897129e-007,109.73
-1.887129e-007,109.73
-1.877129e-007,21.3407
-1.867129e-007,21.3407
-1.857129e-007,21.3407
-1.847129e-007,109.73
-1.837129e-007,-155.438
-1.827129e-007,-67.0485
-1.817129e-007,-67.0485
-1.807129e-007,-67.0485
-1.797129e-007,-67.0485
-1.787129e-007,109.73
-1.777129e-007,109.73
-1.767129e-007,109.73
-1.757129e-007,-67.0485
-1.747129e-007,-155.438
-1.737129e-007,-67.0485
-1.727129e-007,21.3407
-1.717129e-007,21.3407
-1.707129e-007,21.3407
-1.697129e-007,21.3407
-1.687129e-007,21.3407
-1.677129e-007,-67.0485
-1.667129e-007,-67.0485
-1.657129e-007,21.3407
-1.647129e-007,21.3407
-1.637129e-007,21.3407
-1.627129e-007,109.73
-1.617129e-007,21.3407
-1.607129e-007,21.3407
-1.597129e-007,-67.0485
-1.587129e-007,-155.438
-1.577129e-007,21.3407
-1.567129e-007,21.3407
-1.557129e-007,21.3407
-1.547129e-007,-67.0485
-1.537129e-007,21.3407
-1.527129e-007,-67.0485
-1.517129e-007,-155.438
-1.507129e-007,21.3407
-1.497129e-007,21.3407
-1.487129e-007,109.73
-1.477129e-007,21.3407
-1.467129e-007,21.3407
-1.457129e-007,-67.0485
-1.447129e-007,21.3407
-1.437129e-007,-155.438
-1.427129e-007,21.3407
-1.417129e-007,21.3407
-1.407129e-007,-67.0485
-1.397129e-007,21.3407
-1.387129e-007,109.73
-1.377129e-007,-67.0485
-1.367129e-007,-67.0485
-1.357129e-007,-155.438
-1.347129e-007,-67.0485
-1.337129e-007,21.3407
-1.327129e-007,21.3407
-1.317129e-007,21.3407
-1.307129e-007,21.3407
-1.297129e-007,21.3407
-1.287129e-007,-67.0485
-1.277129e-007,21.3407
