LECROYWR6050,12680,Waveform
Segments,1,SegmentSize,2002
Segment,TrigTime,TimeSinceSegment1
#1,22-Mar-2022 11:31:24,0                 
Time,Ampl
-1.966064e-007,109.73
-1.956064e-007,21.3407
-1.946064e-007,109.73
-1.936064e-007,109.73
-1.926064e-007,21.3407
-1.916064e-007,21.3407
-1.906064e-007,109.73
-1.896064e-007,21.3407
-1.886064e-007,21.3407
-1.876064e-007,21.3407
-1.866064e-007,-67.0485
-1.856064e-007,21.3407
-1.846064e-007,-67.0485
-1.836064e-007,-155.438
-1.826064e-007,109.73
-1.816064e-007,109.73
-1.806064e-007,-67.0485
-1.796064e-007,-67.0485
-1.786064e-007,21.3407
-1.776064e-007,-67.0485
-1.766064e-007,-155.438
-1.756064e-007,-67.0485
-1.746064e-007,21.3407
-1.736064e-007,-67.0485
-1.726064e-007,-67.0485
-1.716064e-007,21.3407
-1.706064e-007,109.73
-1.696064e-007,198.119
-1.686064e-007,-155.438
-1.676064e-007,-67.0485
-1.666064e-007,21.3407
-1.656064e-007,109.73
-1.646064e-007,-67.0485
-1.636064e-007,-155.438
-1.626064e-007,-67.0485
-1.616064e-007,109.73
-1.606064e-007,-67.0485
-1.596064e-007,-243.827
-1.586064e-007,21.3407
-1.576064e-007,21.3407
-1.566064e-007,-67.0485
-1.556064e-007,21.3407
-1.546064e-007,21.3407
-1.536064e-007,109.73
-1.526064e-007,21.3407
-1.516064e-007,21.3407
-1.506064e-007,21.3407
-1.496064e-007,21.3407
-1.486064e-007,21.3407
-1.476064e-007,21.3407
-1.466064e-007,-67.0485
-1.456064e-007,21.3407
-1.446064e-007,-67.0485
-1.436064e-007,-67.0485
-1.426064e-007,21.3407
-1.416064e-007,-67.0485
-1.406064e-007,21.3407
-1.396064e-007,21.3407
-1.386064e-007,-155.438
-1.376064e-007,109.73
-1.366064e-007,109.73
-1.356064e-007,-67.0485
-1.346064e-007,-67.0485
-1.336064e-007,21.3407
-1.326064e-007,109.73
-1.316064e-007,109.73
-1.306064e-007,109.73
-1.296064e-007,21.3407
-1.286064e-007,-67.0485
-1.276064e-007,21.3407
-1.266064e-007,-67.0485
-1.256064e-007,109.73
-1.246064e-007,21.3407
-1.236064e-007,21.3407
-1.226064e-007,21.3407
-1.216064e-007,-67.0485
-1.206064e-007,-67.0485
-1.196064e-007,-67.0485
-1.186064e-007,21.3407
-1.176064e-007,109.73
-1.166064e-007,-67.0485
-1.156064e-007,109.73
-1.146064e-007,-67.0485
-1.136064e-007,21.3407
-1.126064e-007,21.3407
-1.116064e-007,-67.0485
-1.106064e-007,21.3407
-1.096064e-007,21.3407
-1.086064e-007,-67.0485
-1.076064e-007,21.3407
-1.066064e-007,21.3407
-1.056064e-007,109.73
-1.046064e-007,21.3407
-1.036064e-007,21.3407
-1.026064e-007,198.119
-1.016064e-007,198.119
-1.006064e-007,198.119
-9.960639e-008,198.119
